Customer,Time of arrival,Number of people at arrival,Number of people currently in queue at arrival,Which 10 min interval in day,Which day in week,Time of start of service,Departure time,Wait time,
204,2052.77,1,0,61,1,2052.77,2062.76,0,
205,2053.19,2,0,61,1,2062.76,2067.83,9.57788,
206,2064.46,2,0,62,1,2067.83,2085.92,3.36499,
207,2069.29,2,0,62,1,2085.92,2093.28,16.6279,
208,2073.51,3,1,63,1,2093.28,2093.51,19.7708,
209,2078.3,4,2,63,1,2093.51,2096.22,15.2109,
210,2092.86,4,2,65,1,2096.22,2096.43,3.36108,
211,2106.47,1,0,66,1,2106.47,2108.05,0,
212,2126.46,1,0,68,1,2126.46,2128.09,0,
213,2128.31,1,0,68,1,2128.31,2140.41,0,
214,2134.49,2,0,69,1,2140.41,2146.71,5.92261,
215,2138.12,3,1,69,1,2146.71,2155.13,8.58643,
216,2147,2,0,70,1,2155.13,2155.68,8.13013,
217,2149.6,3,1,70,1,2155.68,2159.03,6.07544,
218,2152.71,4,2,71,1,2159.03,2159.32,6.31323,
219,2163.62,1,0,72,1,2163.62,2164.03,0,
220,2167.97,1,0,72,1,2167.97,2168.48,0,
221,2182.04,1,0,74,1,2182.04,2204.9,0,
222,2188.59,2,0,74,1,2204.9,2214.75,16.3137,
223,2201.62,3,1,76,1,2214.75,2218.63,13.1372,
224,2205.68,3,1,76,1,2218.63,2222.33,12.9482,
225,2212.52,4,2,77,1,2222.33,2227.52,9.81396,
226,2213.62,5,3,77,1,2227.52,2229.97,13.9023,
227,2222.89,3,1,78,1,2229.97,2242.88,7.0813,
228,2239.57,2,0,79,1,2242.88,2244.66,3.31689,
229,2278.6,1,0,83,1,2278.6,2281.03,0,
230,2281.95,1,0,84,1,2281.95,2292.85,0,
231,2283.02,2,0,84,1,2292.85,2294.09,9.82935,
232,2284.07,3,1,84,1,2294.09,2303.82,10.0234,
233,2285.3,4,2,84,1,2303.82,2312.38,18.52,
234,2289.91,5,3,84,1,2312.38,2312.65,22.4724,
235,2304.31,3,1,86,1,2312.65,2313.77,8.34326,
236,2307.85,4,2,86,1,2313.77,2316.29,5.91406,
237,2310.21,5,3,87,1,2316.29,2323.91,6.08716,
238,2335.07,1,0,89,1,2335.07,2338.88,0,
239,2338.05,2,0,89,1,2338.88,2343.97,0.83374,
240,2341.29,2,0,90,1,2343.97,2352.43,2.67773,
241,2361.09,1,0,92,1,2361.09,2361.97,0,
242,2368.19,1,0,92,1,2368.19,2373.13,0,
243,2376.14,1,0,93,1,2376.14,2378.97,0,
244,2385.49,1,0,94,1,2385.49,2394.88,0,
245,2402.51,1,0,96,1,2402.51,2413.64,0,
246,2415.75,1,0,97,1,2415.75,2428.34,0,
247,2463.04,1,0,102,1,2463.04,2472.52,0,
248,2466.44,2,0,102,1,2472.52,2472.88,6.0835,
249,2480.48,1,0,104,1,2480.48,2481.26,0,
250,2489,1,0,104,1,2489,2491.29,0,
251,2493.39,1,0,105,1,2493.39,2496.76,0,
252,2498.86,1,0,105,1,2498.86,2502.91,0,
253,2520.7,1,0,108,1,2520.7,2521.84,0,
254,2521.63,2,0,108,1,2521.84,2525.1,0.206543,
255,2523.2,2,0,108,1,2525.1,2525.14,1.90503,
256,2536.18,1,0,109,1,2536.18,2537.93,0,
257,2558.07,1,0,111,1,2558.07,2561.69,0,
258,2583.76,1,0,114,1,2583.76,2586.63,0,
259,2613.3,1,0,117,1,2613.3,2617.08,0,
260,2616.63,2,0,117,1,2617.08,2619.82,0.44751,
261,2631.14,1,0,119,1,2631.14,2631.22,0,
262,2642.68,1,0,120,1,2642.68,2645.35,0,
263,2662.9,1,0,122,1,2662.9,2680.98,0,
264,2664.74,2,0,122,1,2680.98,2681.62,16.2468,
265,2692.36,1,0,125,1,2692.36,2699.13,0,
266,2695.99,2,0,125,1,2699.13,2700.45,3.13892,
267,2702.42,1,0,126,1,2702.42,2708.88,0,
268,2702.71,2,0,126,1,2708.88,2709.51,6.17383,
269,2703.98,3,1,126,1,2709.51,2711.05,5.52344,
270,2730.37,1,0,129,1,2730.37,2732.99,0,
271,2748.96,1,0,130,1,2748.96,2750.55,0,
272,2761.14,1,0,132,1,2761.14,2767.73,0,
273,2776.62,1,0,133,1,2776.62,2781.56,0,
274,2778.47,2,0,133,1,2781.56,2782.42,3.08887,
275,2791.76,1,0,135,1,2791.76,2794.77,0,
276,2798.71,1,0,135,1,2798.71,2803.05,0,
277,2805.05,1,0,136,1,2805.05,2806.08,0,
278,2857.46,1,0,141,1,2857.46,2859.51,0,
279,2859.18,2,0,141,1,2859.51,2861.12,0.330078,
280,2860.96,2,0,142,1,2861.12,2872.87,0.15625,
281,2864.21,2,0,142,1,2872.87,2873.61,8.65991,
282,2872.86,3,1,143,1,2873.61,2875.42,0.747314,
283,2886.77,1,0,0,2,2886.77,2894.34,0,
284,2889.73,2,0,0,2,2894.34,2898.03,4.60645,
285,2892.39,3,1,1,2,2898.03,2903.15,5.63818,
286,2915.16,1,0,3,2,2915.16,2921.93,0,
287,2930.93,1,0,5,2,2930.93,2933.05,0,
288,2937.36,1,0,5,2,2937.36,2941.71,0,
289,2973.48,1,0,9,2,2973.48,2978.63,0,
290,2977.28,2,0,9,2,2978.63,2979.13,1.35156,
291,2978.69,2,0,9,2,2979.13,2985.36,0.445557,
292,2995.65,1,0,11,2,2995.65,2999.82,0,
293,2995.67,2,0,11,2,2999.82,3011.47,4.14282,
294,3007.94,2,0,12,2,3011.47,3012.45,3.52954,
