Customer,Time of arrival,Number of people at arrival,Which 10 min interval in day,Which day in week,Number of people at station 0 at arrival,Number of people in queue at station 0 at arrival,Number of active servers in station 0,Number of people at station 1 at arrival,Number of people in queue at station 1 at arrival,Number of active servers in station 1,Time of start of service,Departure time,Wait time,
155,2290.72,3,85,1,3,0,9,0,0,4,2302.02,2304.47,11.2952,
156,2306.73,1,86,1,1,0,9,0,0,4,2315.11,2319.17,8.37842,
157,2320.3,1,88,1,1,0,9,0,0,5,2332.04,2337.78,11.7395,
158,2334.07,2,89,1,1,0,9,1,0,5,2341.26,2345.53,7.1875,
159,2338.91,2,89,1,2,0,9,0,0,5,2348.66,2351.56,9.74951,
160,2343.5,3,90,1,2,0,9,1,0,5,2354.11,2365.41,10.613,
161,2353.01,2,91,1,2,0,9,0,0,5,2361.21,2366.88,8.19727,
162,2367.72,1,92,1,1,0,9,0,0,5,2376.41,2379.44,8.68799,
163,2377.89,2,93,1,1,0,9,1,0,5,2385.07,2389.77,7.1875,
164,2395.6,1,95,1,1,0,9,0,0,5,2404.15,2407.3,8.55469,
165,2397.32,2,95,1,2,0,9,0,0,5,2407.71,2413.05,10.3884,
166,2400.59,3,96,1,3,0,9,0,0,5,2409.56,2415.16,8.96777,
167,2404.43,4,96,1,3,0,9,1,0,5,2414.82,2422.79,10.3884,
168,2414.9,3,97,1,1,0,9,2,0,5,2424.39,2429.68,9.48486,
169,2432.33,1,99,1,1,0,9,0,0,5,2443.16,2446.31,10.8313,
170,2456.84,1,101,1,1,0,9,0,0,5,2466.73,2472.14,9.88354,
171,2464.68,2,102,1,2,0,9,0,0,5,2474.46,2480.92,9.77881,
172,2480.68,2,104,1,1,0,9,1,0,5,2489.23,2493.96,8.55469,
173,2484.81,2,104,1,2,0,9,0,0,5,2493.91,2498.1,9.09814,
174,2502.11,1,106,1,1,0,9,0,0,5,2512.4,2519.02,10.2869,
175,2505.7,2,106,1,2,0,9,0,0,5,2515.45,2520.45,9.74951,
176,2513.8,3,107,1,2,0,9,1,0,5,2524.84,2530.7,11.0452,
177,2532.74,1,109,1,1,0,9,0,0,5,2541.43,2547.14,8.69165,
178,2538.65,2,109,1,2,0,9,0,0,5,2547.34,2551.06,8.69165,
179,2557.29,1,111,1,1,0,9,0,0,4,2564.95,2568.26,7.66113,
180,2591.41,1,115,1,1,0,9,0,0,4,2603.73,2611.54,12.3218,
181,2609.41,2,116,1,1,0,9,1,0,4,2618.51,2622.69,9.09814,
182,2618.89,2,117,1,1,0,9,1,0,4,2628.71,2632.79,9.81592,
183,2622.55,3,118,1,2,0,9,1,0,4,2631.94,2635.2,9.39185,
184,2636.5,1,119,1,1,0,9,0,0,4,2646.16,2651.3,9.66553,
185,2691.75,1,125,1,1,0,9,0,0,3,2703.01,2707.28,11.2549,
186,2716.26,1,127,1,1,0,9,0,0,3,2725.64,2730.91,9.38599,
187,2728.14,2,128,1,1,0,9,1,0,3,2736.65,2740.38,8.50806,
188,2734.26,2,129,1,2,0,9,0,0,3,2745.56,2750.21,11.2993,
189,2766.1,1,132,1,1,0,9,0,0,3,2776.95,2782.59,10.8528,
